source_url_processed,f0,f1,f2,f3,f4,fact,bias
villagevoice.com,12.46073036765954,7.45182223652793,8.586532669494849,8.105911197986508,10.948505656182821,2,5
insideclimatenews.org,11.447052720819519,7.8103526837242905,8.016647877057803,6.672032945461067,10.328853322350627,2,4
fury.news,6.220590170099739,1.3862943611198906,1.0986122886681098,0.0,2.3978952727983707,0,0
now8news.com,0.0,0.0,0.0,0.0,0.0,0,3
constitution.com,10.342677530045913,7.7437032581737535,6.881411303642535,8.296546520300614,9.986403052863436,0,0
oceana.org,12.6295282825592,7.5847730776121995,8.514790306799927,7.7226775164680035,10.492495693354927,2,3
haaretz.com,12.703645842520226,7.285506548522784,9.206834232646894,5.641907070938113,12.44172957691257,2,4
justsecurity.org,10.773901871142757,7.978996370854116,7.1981835771019425,9.210440366976515,10.433909900048675,2,3
freebeacon.com,11.410859516261834,8.224967478914584,7.776115477098743,7.7406644019172415,11.755816740112664,1,1
brexitcentral.com,10.51298134809882,4.709530201312334,6.107022887742255,5.6240175061873385,9.541728276688033,1,1
foreignpolicynews.org,5.736572297479192,3.610917912644224,3.610917912644224,3.1354942159291497,7.980365765111246,1,5
patriotpost.us,8.714567550836486,5.814130531825067,5.62040086571715,3.5263605246161616,10.149253281886617,1,1
congress.gov,10.884573022721431,3.332204510175204,7.122866658599082,6.493753839851687,9.117566971823829,2,3
thetyee.ca,10.810010736851229,7.041411663794809,7.587817219993428,8.580167990577626,10.647351611387784,2,4
loser.com,0.6931471805599453,2.5649493574615367,0.0,5.655991810819852,4.30406509320417,0,6
queerty.com,11.603442357122285,6.536691597591305,7.615791072035832,9.1833801903934,11.119912506051302,2,5
empiresports.co,6.735780014242327,4.574710978503383,2.8903717578961645,4.795790545596741,8.237743803890933,0,3
emirates247.com,13.081728865308143,5.1647859739235145,7.037905963447182,6.226536669287466,12.20461157869166,2,4
samuel-warde.com,7.872836175025724,6.79346613258001,4.060443010546419,1.6094379124341005,9.283497892593909,1,5
trueactivist.com,9.995382817240383,7.761319180947987,5.929589143389895,0.0,9.21253795551967,0,6
popularresistance.org,9.783069799056987,7.4073177104694174,6.6669567924292075,7.650644551436898,10.270627546322624,1,5
fivethirtyeight.com,13.786470960912386,5.54907608489522,9.592605086913911,7.034387929915503,10.941783505196183,2,4
leftvoice.org,7.353722330399631,4.158883083359672,3.7612001156935615,4.382026634673881,7.188412736496954,2,5
thebeaverton.com,10.486540810299,5.831882477283517,5.988961416889863,8.312626025674962,9.106312301552137,0,3
nationalreport.net,7.6934816408351745,3.912023005428147,3.9889840465642745,4.4067192472642525,8.470520783217808,0,3
itep.org,8.224163512637862,6.049733455231958,5.2626901889048865,6.297109319933934,9.423999084079178,2,4
ajc.com,13.854897603437415,10.946816139580937,8.504513138258863,6.025865973825314,12.316714689331482,2,4
abc11.com,12.485233515438273,10.037275162334227,7.44600149832412,7.143617602704121,11.786222060834158,2,4
politicalmayhem.news,9.724181444702632,7.327780538421631,6.828712071641683,8.559102594493448,9.90193635004339,0,0
itv.com-news,14.50423045254074,7.273092595999522,8.850087606689566,6.255750041753367,12.115266805936828,2,2
breitbart.com,13.785035886442474,4.61512051684126,9.026778045746095,6.872128101338986,11.46607491852557,1,1
thebulletin.org,10.525111878184056,9.618003063627834,7.169350016670601,8.047189562170503,10.6884615804086,2,3
forwardprogressives.com,8.888204871455024,6.78897174299217,4.762173934797756,5.758901773877279,8.607947554684701,2,5
triggerreset.net,10.840482465968575,5.45958551414416,6.133398042996649,9.245707515813471,8.671972245203794,0,0
theatlantic.com,14.341248045185235,6.9469759921354175,10.271804465008787,6.169610732491456,11.891711154762662,2,4
dcclothesline.com,9.602382459752207,7.814399633804487,5.746203190540153,6.29156913955832,11.496714778922248,0,0
santafenewmexican.com,10.50457426724686,7.10085190894405,6.525029657843463,4.30406509320417,10.442317372711717,2,4
liberaldarkness.com,14.903044035951968,7.138866999945524,9.140775908590275,9.121727713619581,10.044726664228852,0,3
leftoverrights.com,12.687096577559354,6.453624998892693,7.0048819897128585,8.488176242345746,9.55414281969224,1,5
cp24.com,14.395062297641113,5.963579343618447,8.799058378546453,2.7080502011022096,12.005638033309292,2,3
inthesetimes.com,10.342322960119398,7.461640392208575,7.296413268773919,4.553876891600541,9.538852438916221,2,5
tampabay.com,12.468017591326644,8.60922527686273,7.8804263442924,9.243097936214355,11.987786030183544,2,4
france24-tv.com,14.914867569257636,6.095824562432225,9.229456489168413,6.910750787961936,12.650088370532385,0,0
freewestmedia.com,5.135798437050261,1.6094379124341005,1.6094379124341005,0.0,0.6931471805599453,1,1
theguardiansofdemocracy.com,8.263590432617319,6.841615476477593,4.543294782270004,3.8712010109078916,8.163371316459912,2,5
darientimes.com,8.987946539552519,6.533788837933344,5.327876168789581,4.605170185988092,10.533748180040883,2,4
conservativeoutfitters.com-blogs-news,7.862112211662747,6.22455842927536,4.394449154672439,9.391244257682516,7.706162970199577,1,1
republicworld.com,13.065168492311075,1.3862943611198906,6.85751406254539,0.0,11.579873580701596,1,4
timesheadline.com,7.491645473605133,4.477336814478207,2.5649493574615367,4.51085950651685,8.700347734514084,1,4
amazingnews.net,12.024382889108324,5.308267697401205,7.206377291472252,8.437500422506991,11.878859411741061,0,0
redstatedisaster.com,4.394449154672439,2.8903717578961645,0.6931471805599453,1.9459101490553128,6.647688373563329,2,5
thestar.com,13.735675911977735,6.182084906716633,8.960082528170402,8.611775833902186,12.420687934372502,2,4
smh.com.au,13.483213194420085,6.5294188382622265,8.705828110266784,6.396929655216146,12.010477381580634,2,4
aceflashman.wordpress.com,9.299175085676673,1.0986122886681098,2.8903717578961645,2.4849066497880004,6.7226297948554485,0,3
